,Symbol,Description,Industry,Sector
1390,KRO,KRONOS WORLDWIDE INC,Major Chemicals,Basic Industries
1391,KSS,KOHL'S CORPORATION,Department/Specialty Retail Stores,Consumer Services
1392,KSU,KANSAS CITY SOUTHERN,Railroads,Transportation
1393,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",Military/Government/Technical,Capital Goods
1394,KURA,"KURA ONCOLOGY, INC.",Major Pharmaceuticals,Health Care
1395,KVHI,"KVH INDUSTRIES, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
1396,KW,KENNEDY-WILSON HOLDINGS INC.,Real Estate,Finance
1397,KWR,QUAKER CHEMICAL CORPORATION,Major Chemicals,Basic Industries
1398,L,LOEWS CORPORATION,Property-Casualty Insurers,Finance
1399,LAD,"LITHIA MOTORS, INC.",Automotive Aftermarket,Consumer Durables
1400,LADR,LADDER CAPITAL CORP,Real Estate Investment Trusts,Consumer Services
1401,LAMR,LAMAR ADVERTISING COMPANY,Real Estate Investment Trusts,Consumer Services
1402,LANC,LANCASTER COLONY CORPORATION,Packaged Foods,Consumer Non-Durables
1403,LAUR,"LAUREATE EDUCATION, INC.",Other Consumer Services,Consumer Services
1404,LAWS,"LAWSON PRODUCTS, INC.",Industrial Specialties,Consumer Durables
1405,LAZ,LAZARD LTD.,Investment Managers,Finance
1406,LB,"L BRANDS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
1407,LBAI,"LAKELAND BANCORP, INC.",Major Banks,Finance
1408,LBRDA,LIBERTY BROADBAND CORPORATION,Television Services,Consumer Services
1409,LBRDK,LIBERTY BROADBAND CORPORATION,Television Services,Consumer Services
1410,LBTYA,LIBERTY GLOBAL PLC,,
1411,LC,LENDINGCLUB CORPORATION,Finance: Consumer Services,Finance
1412,LCI,LANNETT CO INC,Major Pharmaceuticals,Health Care
1413,LCII,LCI INDUSTRIES,Auto Parts:O.E.M.,Capital Goods
1414,LCNB,LCNB CORPORATION,Major Banks,Finance
1415,LCUT,"LIFETIME BRANDS, INC.",Industrial Machinery/Components,Capital Goods
1416,LDL,"LYDALL, INC.",Auto Parts:O.E.M.,Capital Goods
1417,LDOS,"LEIDOS HOLDINGS, INC.",EDP Services,Technology
1418,LE,"LANDS' END, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
1419,LEA,LEAR CORPORATION,Auto Parts:O.E.M.,Capital Goods
1420,LECO,"LINCOLN ELECTRIC HOLDINGS, INC.",Industrial Machinery/Components,Technology
1421,LEE,"LEE ENTERPRISES, INCORPORATED",Newspapers/Magazines,Consumer Services
1422,LEG,"LEGGETT & PLATT, INCORPORATED",Home Furnishings,Consumer Durables
1423,LEN,LENNAR CORPORATION,Homebuilding,Basic Industries
1424,LEN.B,LENNAR CORPORATION,Homebuilding,Basic Industries
1425,LFUS,"LITTELFUSE, INC.",Electrical Products,Consumer Durables
1426,LFVN,LIFEVANTAGE CORPORATION,Major Pharmaceuticals,Health Care
1427,LGF.A,LIONS GATE ENTERTAINMENT CORPORATION,,
1428,LGF.B,LIONS GATE ENTERTAINMENT CORPORATION,,
1429,LGIH,"LGI HOMES, INC.",Homebuilding,Capital Goods
1430,LGND,LIGAND PHARMACEUTICALS INCORPORATED,Major Pharmaceuticals,Health Care
1431,LH,LABORATORY CORPORATION OF AMERICA HOLDINGS,Medical Specialities,Health Care
1432,LHCG,LHC GROUP,Medical/Nursing Services,Health Care
1433,LIFE,"ATYR PHARMA, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
1434,LII,"LENNOX INTERNATIONAL, INC.",Industrial Machinery/Components,Capital Goods
1435,LINC,LINCOLN EDUCATIONAL SERVICES CORPORATION,Other Consumer Services,Consumer Services
1436,LIND,LINDBLAD EXPEDITIONS HOLDINGS INC.,Transportation Services,Consumer Services
1437,LITE,LUMENTUM HOLDINGS INC.,Telecommunications Equipment,Capital Goods
1438,LIVN,LIVANOVA PLC,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
1439,LJPC,LA JOLLA PHARMACEUTICAL COMPANY,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
1440,LKFN,LAKELAND FINANCIAL CORPORATION,Major Banks,Finance
1441,LKQ,LKQ CORPORATION,Motor Vehicles,Consumer Services
1442,LL,"LUMBER LIQUIDATORS HOLDINGS, INC",RETAIL: Building Materials,Consumer Services
1443,LLNW,"LIMELIGHT NETWORKS, INC.",Business Services,Miscellaneous
1444,LLY,ELI LILLY AND COMPANY,Major Pharmaceuticals,Health Care
1445,LM,,,
1446,LMAT,"LEMAITRE VASCULAR, INC.",Medical/Dental Instruments,Health Care
1447,LMNR,LIMONEIRA CO,Farming/Seeds/Milling,Consumer Non-Durables
1448,LMNX,LUMINEX CORPORATION,Medical/Dental Instruments,Health Care
1449,LMT,LOCKHEED MARTIN CORPORATION,Military/Government/Technical,Capital Goods
1450,LNC,LINCOLN NATIONAL CORPORATION,Life Insurance,Finance
1451,LNDC,LANDEC CORPORATION,Packaged Foods,Consumer Non-Durables
1452,LNG,"CHENIERE ENERGY, INC.",Oil/Gas Transmission,Public Utilities
1453,LNN,LINDSAY CORPORATION,Industrial Machinery/Components,Capital Goods
1454,LNT,ALLIANT ENERGY CORPORATION,Power Generation,Public Utilities
1455,LNTH,"LANTHEUS HOLDINGS, INC.",Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
1456,LOB,"LIVE OAK BANCSHARES, INC.",Major Banks,Finance
1457,LOCO,"EL POLLO LOCO HOLDINGS, INC.",Restaurants,Consumer Services
1458,LOGI,LOGITECH INTERNATIONAL S.A.,Computer peripheral equipment,Technology
1459,LOGM,"LOGMEIN, INC.",Computer Software: Prepackaged Software,Technology
1460,LOOP,"LOOP INDUSTRIES, INC.",Major Chemicals,Basic Industries
1461,LOPE,"GRAND CANYON EDUCATION, INC.",Other Consumer Services,Consumer Services
1462,LORL,"LORAL SPACE AND COMMUNICATIONS, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
1463,LOV,"SPARK NETWORKS, INC.",Other Consumer Services,Consumer Services
1464,LOW,"LOWE'S COMPANIES, INC.",RETAIL: Building Materials,Consumer Services
1465,LPG,DORIAN LPG LTD.,Marine Transportation,Transportation
1466,LPI,"LAREDO PETROLEUM, INC.",Oil & Gas Production,Energy
1467,LPLA,LPL FINANCIAL HOLDINGS INC.,Investment Bankers/Brokers/Service,Finance
1468,LPSN,"LIVEPERSON, INC.",Computer Software: Prepackaged Software,Technology
1469,LPX,LOUISIANA-PACIFIC CORPORATION,Forest Products,Basic Industries
1470,LQDT,"LIQUIDITY SERVICES, INC.",Business Services,Miscellaneous
1471,LRCX,LAM RESEARCH CORPORATION,Industrial Machinery/Components,Technology
1472,LRN,K12 INC,Other Consumer Services,Consumer Services
1473,LSCC,LATTICE SEMICONDUCTOR CORPORATION,Semiconductors,Technology
1474,LSI,"LIFE STORAGE, INC.",Real Estate Investment Trusts,Consumer Services
1475,LSTR,"LANDSTAR SYSTEM, INC.",Trucking Freight/Courier Services,Transportation
1476,LSXMA,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
1477,LSXMK,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
1478,LTC,"LTC PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
1479,LTRPA,"LIBERTY TRIPADVISOR HOLDINGS, INC.",EDP Services,Technology
1480,LUB,"LUBY'S, INC.",Restaurants,Consumer Services
1481,LULU,LULULEMON ATHLETICA INC.,Apparel,Consumer Non-Durables
1482,LUV,SOUTHWEST AIRLINES COMPANY,Air Freight/Delivery Services,Transportation
1483,LVS,LAS VEGAS SANDS CORP.,Hotels/Resorts,Consumer Services
1484,LW,"LAMB WESTON HOLDINGS, INC.",Packaged Foods,Consumer Non-Durables
1485,LWAY,"LIFEWAY FOODS, INC.",Packaged Foods,Consumer Non-Durables
1486,LXP,LEXINGTON REALTY TRUST,,
1487,LXRX,"LEXICON PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
1488,LXU,LSB INDUSTRIES INC.,Major Chemicals,Basic Industries
1489,LYB,LYONDELLBASELL INDUSTRIES NV,Major Chemicals,Basic Industries
1490,LYTS,LSI INDUSTRIES INC.,Building Products,Consumer Durables
1491,LYV,"LIVE NATION ENTERTAINMENT, INC.",Services-Misc. Amusement & Recreation,Consumer Services
1492,LZB,LA-Z-BOY INCORPORATED,Home Furnishings,Consumer Durables
1493,M,MACY'S INC,Department/Specialty Retail Stores,Consumer Services
1494,MA,MASTERCARD INCORPORATED,Business Services,Miscellaneous
1495,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate Investment Trusts,Consumer Services
1496,MAC,MACERICH COMPANY (THE),Real Estate Investment Trusts,Consumer Services
1497,MACK,"MERRIMACK PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
1498,MAIN,MAIN STREET CAPITAL CORPORATION,,
1499,MAN,MANPOWERGROUP,Professional Services,Technology
1500,MANH,"MANHATTAN ASSOCIATES, INC.",Computer Software: Prepackaged Software,Technology
1501,MANT,MANTECH INTERNATIONAL CORPORATION,Other Consumer Services,Consumer Services
1502,MAR,MARRIOTT INTERNATIONAL,Hotels/Resorts,Consumer Services
1503,MAS,MASCO CORPORATION,Industrial Specialties,Capital Goods
1504,MASI,MASIMO CORPORATION,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
1505,MAT,"MATTEL, INC.",Recreational Products/Toys,Consumer Non-Durables
1506,MATW,MATTHEWS INTERNATIONAL CORPORATION,Metal Fabrications,Capital Goods
1507,MATX,"MATSON, INC.",Marine Transportation,Consumer Services
1508,MBCN,MIDDLEFIELD BANC CORP.,Major Banks,Finance
1509,MBI,"MBIA, INC.",Property-Casualty Insurers,Finance
1510,MBUU,"MALIBU BOATS, INC.",Marine Transportation,Capital Goods
1511,MBWM,MERCANTILE BANK CORPORATION,Major Banks,Finance
1512,MC,MOELIS & COMPANY,Investment Managers,Finance
1513,MCBC,MACATAWA BANK CORPORATION,Major Banks,Finance
1514,MCC,MEDLEY CAPITAL CORPORATION,,
1515,MCD,MCDONALD'S CORPORATION,Restaurants,Consumer Services
1516,MCF,CONTANGO OIL & GAS COMPANY,Oil & Gas Production,Energy
1517,MCFT,"MASTERCRAFT BOAT HOLDINGS, INC.",Marine Transportation,Capital Goods
1518,MCHP,MICROCHIP TECHNOLOGY INCORPORATED,Semiconductors,Technology
1519,MCHX,"MARCHEX, INC.",Business Services,Miscellaneous
1520,MCK,MCKESSON CORPORATION,Other Pharmaceuticals,Health Care
1521,MCO,MOODY'S CORPORATION,Finance: Consumer Services,Finance
1522,MCRB,"SERES THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
1523,MCRI,"MONARCH CASINO & RESORT, INC.",Hotels/Resorts,Consumer Services
1524,MCS,MARCUS CORPORATION (THE),Movies/Entertainment,Consumer Services
1525,MCY,MERCURY GENERAL CORPORATION,Property-Casualty Insurers,Finance
1526,MD,"MEDNAX, INC",Hospital/Nursing Management,Health Care
1527,MDC,"M.D.C. HOLDINGS, INC.",Homebuilding,Capital Goods
1528,MDCA,MDC PARTNERS INC.,Advertising,Technology
1529,MDGL,"MADRIGAL PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
1530,MDLY,MEDLEY MANAGEMENT INC.,Investment Managers,Finance
1531,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Packaged Foods,Consumer Non-Durables
1532,MDP,MEREDITH CORPORATION,Newspapers/Magazines,Consumer Services
1533,MDRX,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",EDP Services,Technology
1534,MDT,MEDTRONIC PLC,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
1535,MDU,"MDU RESOURCES GROUP, INC.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries
1536,MED,MEDIFAST INC,Packaged Foods,Consumer Non-Durables
1537,MEDP,"MEDPACE HOLDINGS, INC.",Biotechnology: Commercial Physical & Biological Resarch,Health Care
1538,MEET,"THE MEET GROUP, INC.",Advertising,Consumer Services
1539,MEG,"MONTROSE ENVIRONMENTAL GROUP, INC.",Professional Services,Consumer Services
1540,MEI,"METHODE ELECTRONICS, INC.",Electrical Products,Capital Goods
1541,MEIP,"MEI PHARMA, INC.",Major Pharmaceuticals,Health Care
1542,MELI,"MERCADOLIBRE, INC.",Business Services,Miscellaneous
1543,MERC,MERCER INTERNATIONAL INC.,Paper,Basic Industries
1544,MET,"METLIFE, INC.",Life Insurance,Finance
1545,METC,"RAMACO RESOURCES, INC.",Coal Mining,Energy
1546,MFA,"MFA FINANCIAL, INC.",Real Estate Investment Trusts,Consumer Services
1547,MG,MISTRAS GROUP INC,Military/Government/Technical,Consumer Services
1548,MGEE,MGE ENERGY INC.,Electric Utilities: Central,Energy
1549,MGEN,"MIRAGEN THERAPEUTICS, INC.",Medical Specialities,Health Care
1550,MGI,"MONEYGRAM INTERNATIONAL, INC.",Business Services,Miscellaneous
1551,MGLN,"MAGELLAN HEALTH, INC.",Hospital/Nursing Management,Health Care
1552,MGM,MGM RESORTS INTERNATIONAL,Hotels/Resorts,Consumer Services
1553,MGNX,"MACROGENICS, INC.",Major Pharmaceuticals,Health Care
1554,MGPI,"MGP INGREDIENTS, INC.",Beverages (Production/Distribution),Consumer Non-Durables
1555,MGRC,MCGRATH RENTCORP,Diversified Commercial Services,Technology
1556,MHK,"MOHAWK INDUSTRIES, INC.",Home Furnishings,Consumer Durables
1557,MHLD,"MAIDEN HOLDINGS, LTD.",Property-Casualty Insurers,Finance
1558,MHO,"M/I HOMES, INC.",Homebuilding,Capital Goods
1559,MIC,MACQUARIE INFRASTRUCTURE CORPORATION,Oil Refining/Marketing,Energy
1560,MIDD,THE MIDDLEBY CORPORATION,Industrial Machinery/Components,Technology
1561,MIK,"THE MICHAELS COMPANIES, INC.",Recreational Products/Toys,Consumer Services
1562,MIND,"MIND TECHNOLOGY, INC.",Diversified Commercial Services,Technology
1563,MITI,,,
1564,MITK,"MITEK SYSTEMS, INC.",Computer peripheral equipment,Technology
1565,MITT,"AG MORTGAGE INVESTMENT TRUST, INC.",,
1566,MJCO,MAJESCO,Computer Software: Prepackaged Software,Technology
1567,MKC,"MCCORMICK & COMPANY, INCORPORATED",Packaged Foods,Consumer Non-Durables
1568,MKL,MARKEL CORPORATION,Property-Casualty Insurers,Finance
1569,MKSI,"MKS INSTRUMENTS, INC.",Industrial Machinery/Components,Capital Goods
1570,MKTX,"MARKETAXESS HOLDINGS, INC.",Investment Bankers/Brokers/Service,Finance
1571,MLAB,"MESA LABORATORIES, INC.",Industrial Machinery/Components,Capital Goods
1572,MLHR,"HERMAN MILLER, INC.",Office Equipment/Supplies/Services,Consumer Durables
1573,MLI,"MUELLER INDUSTRIES, INC.",Metal Fabrications,Capital Goods
1574,MLM,"MARTIN MARIETTA MATERIALS, INC.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries
1575,MLP,"MAUI LAND & PINEAPPLE COMPANY, INC.",Real Estate,Finance
1576,MLR,"MILLER INDUSTRIES, INC.",Construction/Ag Equipment/Trucks,Capital Goods
1577,MLVF,"MALVERN BANCORP, INC.",Savings Institutions,Finance
1578,MMC,"MARSH & MCLENNAN COMPANIES, INC.",Specialty Insurers,Finance
1579,MMI,"MARCUS & MILLICHAP, INC.",Real Estate,Finance
1580,MMM,3M COMPANY,Medical/Dental Instruments,Health Care
1581,MMS,"MAXIMUS, INC.",Business Services,Miscellaneous
1582,MMSI,"MERIT MEDICAL SYSTEMS, INC.",Medical/Dental Instruments,Health Care
1583,MN,"MANNING & NAPIER, INC.",Investment Managers,Finance
1584,MNK,MALLINCKRODT PLC,Major Pharmaceuticals,Health Care
1585,MNKD,MANNKIND CORPORATION,Major Pharmaceuticals,Health Care
1586,MNOV,"MEDICINOVA, INC.",Major Pharmaceuticals,Health Care
1587,MNR,MONMOUTH REAL ESTATE INVESTMENT CORPORATION,Real Estate Investment Trusts,Consumer Services
1588,MNRO,"MONRO, INC.",Automotive Aftermarket,Consumer Services
1589,MNST,MONSTER BEVERAGE CORPORATION,Beverages (Production/Distribution),Consumer Non-Durables
1590,MNTA,"MOMENTA PHARMACEUTICALS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
1591,MNTX,"MANITEX INTERNATIONAL, INC.",Industrial Machinery/Components,Technology
1592,MO,ALTRIA GROUP,Farming/Seeds/Milling,Consumer Non-Durables
1593,MOBL,"MOBILEIRON, INC.",Computer Software: Prepackaged Software,Technology
1594,MOD,MODINE MANUFACTURING COMPANY,Auto Parts:O.E.M.,Capital Goods
1595,MODN,"MODEL N, INC.","Computer Software: Programming, Data Processing",Technology
1596,MOFG,"MIDWESTONE FINANCIAL GROUP, INC.",Major Banks,Finance
1597,MOG.A,MOOG INC.,,
1598,MOH,MOLINA HEALTHCARE INC,Medical Specialities,Health Care
1599,MORN,"MORNINGSTAR, INC.",Investment Managers,Finance
1600,MOS,MOSAIC COMPANY (THE),Agricultural Chemicals,Basic Industries
1601,MOSY,"MOSYS, INC.",Semiconductors,Technology
1602,MOV,MOVADO GROUP INC.,Consumer Specialties,Consumer Non-Durables
1603,MPAA,"MOTORCAR PARTS OF AMERICA, INC.",Auto Parts:O.E.M.,Capital Goods
1604,MPC,MARATHON PETROLEUM CORPORATION,Integrated oil Companies,Energy
1605,MPW,"MEDICAL PROPERTIES TRUST, INC.",Real Estate Investment Trusts,Consumer Services
1606,MPWR,"MONOLITHIC POWER SYSTEMS, INC.",Semiconductors,Technology
1607,MPX,MARINE PRODUCTS CORPORATION,Marine Transportation,Capital Goods
1608,MRC,MRC GLOBAL INC.,Industrial Machinery/Components,Capital Goods
1609,MRCY,MERCURY SYSTEMS INC,Electrical Products,Capital Goods
1610,MRIN,MARIN SOFTWARE INCORPORATED,EDP Services,Technology
1611,MRK,"MERCK & COMPANY, INC.",Major Pharmaceuticals,Health Care
1612,MRLN,MARLIN BUSINESS SERVICES CORP.,Major Banks,Finance
1613,MRO,MARATHON OIL CORPORATION,Oil & Gas Production,Energy
1614,MRTN,"MARTEN TRANSPORT, LTD.",Trucking Freight/Courier Services,Transportation
1615,MRVL,MARVELL TECHNOLOGY GROUP LTD.,Semiconductors,Technology
1616,MS,MORGAN STANLEY,Investment Bankers/Brokers/Service,Finance
1617,MSA,MSA SAFETY INCORPORPORATED,Industrial Specialties,Health Care
1618,MSBI,"MIDLAND STATES BANCORP, INC.",Major Banks,Finance
1619,MSCI,MSCI INC,Business Services,Miscellaneous
1620,MSEX,MIDDLESEX WATER COMPANY,Water Supply,Public Utilities
1621,MSFT,MICROSOFT CORPORATION,Computer Software: Prepackaged Software,Technology
1622,MSGN,MSG NETWORKS INC.,Television Services,Consumer Services
1623,MSI,"MOTOROLA SOLUTIONS, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
1624,MSM,"MSC INDUSTRIAL DIRECT COMPANY, INC.",Industrial Machinery/Components,Capital Goods
1625,MSTR,MICROSTRATEGY INCORPORATED,Computer Software: Prepackaged Software,Technology
1626,MTB,M&T BANK CORPORATION,Major Banks,Finance
1627,MTCH,"MATCH GROUP, INC.","Computer Software: Programming, Data Processing",Technology
1628,MTD,"METTLER-TOLEDO INTERNATIONAL, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
1629,MTDR,MATADOR RESOURCES COMPANY,Oil & Gas Production,Energy
1630,MTEX,"MANNATECH, INCORPORATED",Specialty Chemicals,Consumer Durables
1631,MTG,MGIC INVESTMENT CORPORATION,Property-Casualty Insurers,Finance
1632,MTH,MERITAGE CORPORATION,Homebuilding,Capital Goods
1633,MTN,"VAIL RESORTS, INC.",Services-Misc. Amusement & Recreation,Consumer Services
1634,MTNB,"MATINAS BIOPHARMA HOLDINGS, INC.",Major Pharmaceuticals,Health Care
1635,MTOR,"MERITOR, INC.",Auto Parts:O.E.M.,Capital Goods
1636,MTRN,MATERION CORPORATION,Industrial Specialties,Capital Goods
1637,MTRX,MATRIX SERVICE COMPANY,Engineering & Construction,Basic Industries
1638,MTSC,MTS SYSTEMS CORPORATION,Industrial Machinery/Components,Capital Goods
1639,MTSI,"MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",Semiconductors,Technology
1640,MTW,"MANITOWOC COMPANY, INC. (THE)",Construction/Ag Equipment/Trucks,Capital Goods
1641,MTX,MINERALS TECHNOLOGIES INC.,Major Chemicals,Basic Industries
1642,MTZ,"MASTEC, INC.",Water Supply,Basic Industries
1643,MU,"MICRON TECHNOLOGY, INC.",Semiconductors,Technology
1644,MUR,MURPHY OIL CORPORATION,Oil & Gas Production,Energy
1645,MUSA,MURPHY USA INC.,Automotive Aftermarket,Consumer Durables
1646,MVC,"MVC CAPITAL, INC.",,
1647,MVIS,"MICROVISION, INC.",Industrial Machinery/Components,Capital Goods
1648,MWA,MUELLER WATER PRODUCTS INC,Metal Fabrications,Capital Goods
1649,MXIM,"MAXIM INTEGRATED PRODUCTS, INC.",Semiconductors,Technology
1650,MXL,"MAXLINEAR, INC",Semiconductors,Technology
1651,MYE,"MYERS INDUSTRIES, INC.",Plastic Products,Consumer Non-Durables
1652,MYGN,"MYRIAD GENETICS, INC.",Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
1653,MYL,MYLAN N.V.,Major Pharmaceuticals,Health Care
1654,MYOK,"MYOKARDIA, INC.",Major Pharmaceuticals,Health Care
1655,MYRG,"MYR GROUP, INC.",Water Supply,Basic Industries
1656,NAT,NORDIC AMERICAN TANKERS LIMITED,Marine Transportation,Consumer Services
1657,NATH,"NATHAN'S FAMOUS, INC.",Restaurants,Consumer Services
1658,NATI,NATIONAL INSTRUMENTS CORPORATION,Computer Software: Prepackaged Software,Technology
1659,NATR,"NATURE'S SUNSHINE PRODUCTS, INC.",Major Pharmaceuticals,Health Care
1660,NAV,NAVISTAR INTERNATIONAL CORPORATION,Auto Manufacturing,Capital Goods
1661,NAVB,"NAVIDEA BIOPHARMACEUTICALS, INC.",Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
1662,NAVI,NAVIENT CORPORATION,Investment Bankers/Brokers/Service,Finance
1663,NBHC,NATIONAL BANK HOLDINGS CORPORATION,Major Banks,Finance
1664,NBIX,"NEUROCRINE BIOSCIENCES, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
1665,NBL,NOBLE ENERGY INC.,Oil & Gas Production,Energy
1666,NBN,NORTHEAST BANK,Major Banks,Finance
1667,NBR,NABORS INDUSTRIES LTD.,Oil & Gas Production,Energy
1668,NBTB,NBT BANCORP INC.,Major Banks,Finance
1669,NC,"NACCO INDUSTRIES, INC.",Consumer Electronics/Appliances,Consumer Durables
1670,NCBS,NICOLET BANKSHARES INC.,Major Banks,Finance
1671,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Marine Transportation,Consumer Services
1672,NCMI,"NATIONAL CINEMEDIA, INC.",Advertising,Consumer Services
1673,NCR,NCR CORPORATION,Office Equipment/Supplies/Services,Miscellaneous
1674,NCSM,"NCS MULTISTAGE HOLDINGS, INC.",Oilfield Services/Equipment,Energy
1675,NDAQ,"NASDAQ, INC.",Investment Bankers/Brokers/Service,Finance
1676,NDLS,NOODLES & COMPANY,Restaurants,Consumer Services
1677,NDSN,NORDSON CORPORATION,Industrial Machinery/Components,Capital Goods
1678,NE,,,
1679,NEE,"NEXTERA ENERGY, INC.",Electric Utilities: Central,Public Utilities
1680,NEM,NEWMONT CORPORATION,Precious Metals,Basic Industries
1681,NEO,"NEOGENOMICS, INC.",Precision Instruments,Health Care
1682,NEOG,NEOGEN CORPORATION,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
1683,NEON,NEONODE INC.,Industrial Machinery/Components,Capital Goods
1684,NEOS,"NEOS THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
1685,NERV,"MINERVA NEUROSCIENCES, INC",Major Pharmaceuticals,Health Care
1686,NES,"NUVERRA ENVIRONMENTAL SOLUTIONS, INC.",Oilfield Services/Equipment,Energy
1687,NETE,"NET ELEMENT, INC.",EDP Services,Technology
1688,NETL,NETLEASE CORPORATE REAL ESTATE ETF,Exchange Traded Fund,Financial
1689,NEU,NEWMARKET CORPORATION,Major Chemicals,Basic Industries
1690,NEWR,"NEW RELIC, INC.",Computer Software: Prepackaged Software,Technology
1691,NFBK,"NORTHFIELD BANCORP, INC.",Savings Institutions,Finance
1692,NFG,NATIONAL FUEL GAS COMPANY,Oil/Gas Transmission,Public Utilities
1693,NFLX,"NETFLIX, INC.",Consumer Electronics/Video Chains,Consumer Services
1694,NGHC,NATIONAL GENERAL HOLDINGS CORP,Property-Casualty Insurers,Finance
1695,NGS,"NATURAL GAS SERVICES GROUP, INC.",Oilfield Services/Equipment,Energy
1696,NGVC,"NATURAL GROCERS BY VITAMIN COTTAGE, INC.",Food Chains,Consumer Services
1697,NGVT,INGEVITY CORPORATION,Major Chemicals,Basic Industries
1698,NH,"NANTHEALTH, INC.",EDP Services,Technology
1699,NHC,NATIONAL HEALTHCARE CORPORATION,Hospital/Nursing Management,Health Care
1700,NHI,"NATIONAL HEALTH INVESTORS, INC.",Real Estate Investment Trusts,Consumer Services
1701,NHTC,NATURAL HEALTH TRENDS CORP.,Consumer Specialties,Consumer Durables
1702,NI,"NISOURCE, INC",Power Generation,Public Utilities
1703,NICK,"NICHOLAS FINANCIAL, INC.",Finance Companies,Finance
1704,NJR,NEWJERSEY RESOURCES CORPORATION,Oil/Gas Transmission,Public Utilities
1705,NK,"NANTKWEST, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
1706,NKE,"NIKE, INC.",Shoe Manufacturing,Consumer Non-Durables
1707,NKSH,"NATIONAL BANKSHARES, INC.",Major Banks,Finance
1708,NKTR,NEKTAR THERAPEUTICS,Major Pharmaceuticals,Health Care
1709,NL,"NL INDUSTRIES, INC.",Major Chemicals,Basic Industries
1710,NLS,"NAUTILUS GROUP, INC. (THE)",Recreational Products/Toys,Consumer Non-Durables
1711,NLSN,NIELSEN N.V.,Business Services,Miscellaneous
1712,NLY,ANNALY CAPITAL MANAGEMENT INC,Real Estate Investment Trusts,Consumer Services
1713,NM,NAVIOS MARITIME HOLDINGS INC.,Marine Transportation,Transportation
1714,NMFC,NEW MOUNTAIN FINANCE CORPORATION,,
1715,NMIH,NMI HOLDINGS INC,Property-Casualty Insurers,Finance
1716,NNA,NAVIOS MARITIME ACQUISITION CORPORATION,Marine Transportation,Transportation
1717,NNBR,"NN, INC.",Metal Fabrications,Capital Goods
1718,NNI,"NELNET, INC.",Finance: Consumer Services,Finance
1719,NNN,NATIONAL RETAIL PROPERTIES,Real Estate Investment Trusts,Consumer Services
1720,NOC,NORTHROP GRUMMAN CORPORATION,Industrial Machinery/Components,Capital Goods
1721,NODK,"NI HOLDINGS, INC.",Property-Casualty Insurers,Finance
1722,NOG,"NORTHERN OIL AND GAS, INC.",Oil & Gas Production,Energy
1723,NOV,"NATIONAL OILWELL VARCO, INC.",Metal Fabrications,Energy
1724,NOVA,SUNNOVA ENERGY INTERNATIONAL INC.,Power Generation,Public Utilities
1725,NOVT,NOVANTA INC.,Industrial Machinery/Components,Miscellaneous
1726,NOW,"SERVICENOW, INC.",Computer Software: Prepackaged Software,Technology
1727,NP,"NEENAH, INC.",Paper,Basic Industries
1728,NPK,"NATIONAL PRESTO INDUSTRIES, INC.",Ordnance And Accessories,Capital Goods
1729,NPO,ENPRO INDUSTRIES,Metal Fabrications,Basic Industries
1730,NPTN,NEOPHOTONICS CORPORATION,Semiconductors,Technology
1731,NR,"NEWPARK RESOURCES, INC.",Metal Fabrications,Energy
1732,NRG,"NRG ENERGY, INC.",Electric Utilities: Central,Public Utilities
