Symbol,Description,Industry,Sector
DRI,"DARDEN RESTAURANTS, INC.",Restaurants,Consumer Services
DRIV,GLOBAL X AUTONOMOUS & ELECTRIC VEHICLES ETF,,
DRQ,"DRIL-QUIP, INC.",Metal Fabrications,Energy
DRRX,DURECT CORPORATION,Major Pharmaceuticals,Health Care
DS,DRIVE SHACK INC.,Restaurants,Consumer Services
DSKE,"DASEKE, INC.",Transportation Services,Consumer Services
DSL,DOUBLELINE INCOME SOLUTIONS FUND,,
DSPG,"DSP GROUP, INC.",Semiconductors,Technology
DTE,DTE ENERGY COMPANY,Electric Utilities: Central,Public Utilities
DUK,DUKE ENERGY CORPORATION,Power Generation,Public Utilities
DUSA,DAVIS SELECT U.S. EQUITY ETF,,
DVA,DAVITA INC.,Misc Health and Biotechnology Services,Health Care
DVAX,DYNAVAX TECHNOLOGIES CORPORATION,Major Pharmaceuticals,Health Care
DVD,"DOVER MOTORSPORTS, INC.",Services-Misc. Amusement & Recreation,Consumer Services
DVN,DEVON ENERGY CORPORATION,Oil & Gas Production,Energy
DWSN,DAWSON GEOPHYSICAL COMPANY,Oil & Gas Production,Energy
DX,"DYNEX CAPITAL, INC.",Real Estate Investment Trusts,Consumer Services
DXC,DXC TECHNOLOGY COMPANY,EDP Services,Technology
DXCM,"DEXCOM, INC.",Medical/Dental Instruments,Health Care
DXLG,"DESTINATION XL GROUP, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
DXPE,"DXP ENTERPRISES, INC.",Industrial Machinery/Components,Capital Goods
DY,"DYCOM INDUSTRIES, INC.",Water Supply,Basic Industries
DYN,,,
EA,ELECTRONIC ARTS INC.,Computer Software: Prepackaged Software,Technology
EARN,ELLINGTON RESIDENTIAL MORTGAGE REIT,Real Estate Investment Trusts,Consumer Services
EAT,"BRINKER INTERNATIONAL, INC.",Restaurants,Consumer Services
EBAY,EBAY INC.,Business Services,Miscellaneous
EBF,"ENNIS, INC.",Office Equipment/Supplies/Services,Consumer Services
EBIX,"EBIX, INC.",EDP Services,Technology
EBS,"EMERGENT BIOSOLUTIONS, INC.",Major Pharmaceuticals,Health Care
EBSB,"MERIDIAN BANCORP, INC.",Major Banks,Finance
EBTC,ENTERPRISE BANCORP INC,Major Banks,Finance
ECHO,"ECHO GLOBAL LOGISTICS, INC.",Oil Refining/Marketing,Transportation
ECL,ECOLAB INC.,Package Goods/Cosmetics,Basic Industries
ECOL,"US ECOLOGY, INC.",Environmental Services,Public Utilities
ECOM,CHANNELADVISOR CORPORATION,Computer Software: Prepackaged Software,Technology
ECPG,ENCORE CAPITAL GROUP INC,Finance Companies,Finance
ED,CONSOLIDATED EDISON INC,Power Generation,Public Utilities
EDIT,"EDITAS MEDICINE, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
EEFT,"EURONET WORLDWIDE, INC.",Investment Bankers/Brokers/Service,Finance
EEX,"EMERALD HOLDING, INC.",Business Services,Miscellaneous
EFSC,ENTERPRISE FINANCIAL SERVICES CORPORATION,Major Banks,Finance
EFX,"EQUIFAX, INC.",Finance: Consumer Services,Finance
EGAN,EGAIN CORPORATION,Computer Software: Prepackaged Software,Technology
EGBN,"EAGLE BANCORP, INC.",Major Banks,Finance
EGHT,8X8 INC,EDP Services,Technology
EGLE,EAGLE BULK SHIPPING INC.,Marine Transportation,Transportation
EGOV,NIC INC.,Business Services,Miscellaneous
EGP,"EASTGROUP PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
EGRX,"EAGLE PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
EGY,"VAALCO ENERGY, INC.",Oil & Gas Production,Energy
EHTH,"EHEALTH, INC.",Specialty Insurers,Finance
EIG,EMPLOYERS HOLDINGS INC,Property-Casualty Insurers,Finance
EIGI,"ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC.",Computer Software: Prepackaged Software,Technology
EIX,EDISON INTERNATIONAL,Electric Utilities: Central,Public Utilities
EL,"ESTEE LAUDER COMPANIES, INC. (THE)",Package Goods/Cosmetics,Consumer Non-Durables
ELF,"E.L.F. BEAUTY, INC.",Package Goods/Cosmetics,Consumer Non-Durables
ELS,"EQUITY LIFESTYLE PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
ELVT,"ELEVATE CREDIT, INC.",Finance: Consumer Services,Finance
ELY,CALLAWAY GOLF COMPANY,Recreational Products/Toys,Consumer Non-Durables
EMAN,EMAGIN CORPORATION,Semiconductors,Technology
EME,"EMCOR GROUP, INC.",Engineering & Construction,Capital Goods
EMKR,EMCORE CORPORATION,Semiconductors,Technology
EML,EASTERN COMPANY (THE),Industrial Machinery/Components,Capital Goods
EMN,EASTMAN CHEMICAL COMPANY,Major Chemicals,Basic Industries
EMR,EMERSON ELECTRIC COMPANY,Consumer Electronics/Appliances,Energy
ENDP,ENDO INTERNATIONAL PLC,Major Pharmaceuticals,Health Care
ENG,ENGLOBAL CORPORATION,Military/Government/Technical,Consumer Services
ENPH,"ENPHASE ENERGY, INC.",Semiconductors,Technology
ENR,"ENERGIZER HOLDINGS, INC.",Industrial Machinery/Components,Miscellaneous
ENS,ENERSYS,Telecommunications Equipment,Consumer Non-Durables
ENSG,"THE ENSIGN GROUP, INC.",Hospital/Nursing Management,Health Care
ENTA,"ENANTA PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
ENTG,"ENTEGRIS, INC.",Plastic Products,Consumer Non-Durables
ENTR,ERSHARES ENTREPRENEUR 30 ETF,Exchange Traded Fund,Financial
ENV,"ENVESTNET, INC",Business Services,Miscellaneous
ENVA,"ENOVA INTERNATIONAL, INC.",Finance: Consumer Services,Finance
ENZ,"ENZO BIOCHEM, INC.",Medical Specialities,Health Care
EOG,"EOG RESOURCES, INC.",Oil & Gas Production,Energy
EPAM,"EPAM SYSTEMS, INC.",EDP Services,Technology
EPAY,"BOTTOMLINE TECHNOLOGIES, INC.",Computer Software: Prepackaged Software,Technology
EPC,EDGEWELL PERSONAL CARE,Package Goods/Cosmetics,Consumer Non-Durables
EPM,"EVOLUTION PETROLEUM CORPORATION, INC.",Oil & Gas Production,Energy
EPR,EPR PROPERTIES,Real Estate Investment Trusts,Consumer Services
EPZM,"EPIZYME, INC.",Major Pharmaceuticals,Health Care
EQBK,"EQUITY BANCSHARES, INC.",Major Banks,Finance
EQC,EQUITY COMMONWEALTH,Real Estate Investment Trusts,Consumer Services
EQIX,"EQUINIX, INC.",Real Estate Investment Trusts,Consumer Services
EQR,EQUITY RESIDENTIAL,Real Estate Investment Trusts,Consumer Services
EQT,EQT CORPORATION,Oil & Gas Production,Energy
ERES,,,
ERIE,ERIE INDEMNITY COMPANY,Specialty Insurers,Finance
ERII,"ENERGY RECOVERY, INC.",Industrial Machinery/Components,Technology
EROS,EROS INTERNATIONAL PLC,Movies/Entertainment,Consumer Services
ES,EVERSOURCE ENERGY,Electric Utilities: Central,Public Utilities
ESCA,"ESCALADE, INCORPORATED",Recreational Products/Toys,Consumer Non-Durables
ESE,ESCO TECHNOLOGIES INC.,Telecommunications Equipment,Capital Goods
ESGR,ENSTAR GROUP LIMITED,Property-Casualty Insurers,Finance
ESI,ELEMENT SOLUTIONS INC.,Major Chemicals,Basic Industries
ESNT,ESSENT GROUP LTD.,Property-Casualty Insurers,Finance
ESPR,"ESPERION THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
ESRT,"EMPIRE STATE REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
ESSA,"ESSA BANCORP, INC.",Banks,Finance
ESTE,"EARTHSTONE ENERGY, INC.",Oil & Gas Production,Energy
ESXB,COMMUNITY BANKERS TRUST CORPORATION.,Major Banks,Finance
ET,ENERGY TRANSFER L.P.,Natural Gas Distribution,Public Utilities
ETFC,E*TRADE FINANCIAL CORPORATION,Savings Institutions,Finance
ETH,ETHAN ALLEN INTERIORS INC.,Home Furnishings,Consumer Durables
ETM,ENTERCOM COMMUNICATIONS CORP.,Broadcasting,Consumer Services
ETN,"EATON CORPORATION, PLC",Industrial Machinery/Components,Technology
ETR,ENTERGY CORPORATION,Electric Utilities: Central,Public Utilities
ETSY,"ETSY, INC.",Business Services,Miscellaneous
EV,EATON VANCE CORPORATION,Investment Managers,Finance
EVBG,"EVERBRIDGE, INC.",Computer Software: Prepackaged Software,Technology
EVBN,"EVANS BANCORP, INC.",Major Banks,Finance
EVC,ENTRAVISION COMMUNICATIONS CORPORATION,Broadcasting,Consumer Services
EVER,"EVERQUOTE, INC.","Computer Software: Programming, Data Processing",Technology
EVH,"EVOLENT HEALTH, INC",Other Consumer Services,Consumer Services
EVI,"EVI INDUSTRIES, INC.",Other Consumer Services,Consumer Services
EVR,EVERCORE INC.,Investment Managers,Finance
EVRI,EVERI HOLDINGS INC.,Services-Misc. Amusement & Recreation,Consumer Services
EVTC,"EVERTEC, INC.",EDP Services,Technology
EW,EDWARDS LIFESCIENCES CORPORATION,Industrial Specialties,Health Care
EWBC,"EAST WEST BANCORP, INC.",Major Banks,Finance
EXAS,EXACT SCIENCES CORPORATION,Biotechnology: Commercial Physical & Biological Resarch,Health Care
EXC,EXELON CORPORATION,Power Generation,Public Utilities
EXEL,"EXELIXIS, INC.",Biotechnology: Commercial Physical & Biological Resarch,Health Care
EXLS,"EXLSERVICE HOLDINGS, INC.",Business Services,Miscellaneous
EXP,EAGLE MATERIALS INC,Building Materials,Capital Goods
EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",Oil Refining/Marketing,Transportation
EXPE,"EXPEDIA GROUP, INC.",Transportation Services,Consumer Services
EXPO,"EXPONENT, INC.",Professional Services,Consumer Services
EXPR,"EXPRESS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
EXR,EXTRA SPACE STORAGE INC,Real Estate Investment Trusts,Consumer Services
EXTN,EXTERRAN CORPORATION,Diversified Commercial Services,Technology
EXTR,"EXTREME NETWORKS, INC.",Computer Communications Equipment,Technology
EZPW,"EZCORP, INC.",Other Specialty Stores,Consumer Services
F,FORD MOTOR COMPANY,Auto Manufacturing,Capital Goods
FAF,FIRST AMERICAN CORPORATION (THE),Specialty Insurers,Finance
FANG,"DIAMONDBACK ENERGY, INC.",Oil & Gas Production,Energy
FARM,FARMER BROTHERS COMPANY,Packaged Foods,Consumer Non-Durables
FARO,"FARO TECHNOLOGIES, INC.",Industrial Machinery/Components,Capital Goods
FAST,FASTENAL COMPANY,RETAIL: Building Materials,Consumer Services
FATE,"FATE THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
FB,"FACEBOOK, INC.","Computer Software: Programming, Data Processing",Technology
FBC,"FLAGSTAR BANCORP, INC.",Savings Institutions,Finance
FBHS,"FORTUNE BRANDS HOME & SECURITY, INC.",Homebuilding,Basic Industries
FBIO,"FORTRESS BIOTECH, INC.",Major Pharmaceuticals,Health Care
FBIZ,"FIRST BUSINESS FINANCIAL SERVICES, INC.",Major Banks,Finance
FBK,FB FINANCIAL CORPORATION,Major Banks,Finance
FBM,"FOUNDATION BUILDING MATERIALS, INC.",RETAIL: Building Materials,Consumer Services
FBMS,"THE FIRST BANCSHARES, INC.",Major Banks,Finance
FBNC,FIRST BANCORP,Major Banks,Finance
FBP,FIRST BANCORP.,Major Banks,Finance
FC,FRANKLIN COVEY COMPANY,Other Consumer Services,Consumer Services
FCAL,FIRST TRUST CALIFORNIA MUNICIPAL HIGH INCOME ETF,,
FCBC,"FIRST COMMUNITY BANKSHARES, INC.",Major Banks,Finance
FCEL,"FUELCELL ENERGY, INC.",Industrial Machinery/Components,Miscellaneous
FCF,FIRST COMMONWEALTH FINANCIAL CORPORATION,Major Banks,Finance
FCFS,"FIRSTCASH, INC.",Other Specialty Stores,Consumer Services
FCX,"FREEPORT-MCMORAN, INC.",Precious Metals,Basic Industries
FDP,"FRESH DEL MONTE PRODUCE, INC.",Farming/Seeds/Milling,Consumer Non-Durables
FDS,FACTSET RESEARCH SYSTEMS INC.,"Computer Software: Programming, Data Processing",Technology
FDUS,FIDUS INVESTMENT CORPORATION,,
FDX,FEDEX CORPORATION,Air Freight/Delivery Services,Transportation
FE,FIRSTENERGY CORP.,Electric Utilities: Central,Public Utilities
FELE,"FRANKLIN ELECTRIC CO., INC.",Metal Fabrications,Consumer Durables
FET,"FORUM ENERGY TECHNOLOGIES, INC.",Metal Fabrications,Energy
FEYE,"FIREEYE, INC.",Computer peripheral equipment,Technology
FF,FUTUREFUEL CORP.,Major Chemicals,Basic Industries
FFBC,FIRST FINANCIAL BANCORP.,Major Banks,Finance
FFG,"FBL FINANCIAL GROUP, INC.",Life Insurance,Finance
FFIC,FLUSHING FINANCIAL CORPORATION,Major Banks,Finance
FFIN,"FIRST FINANCIAL BANKSHARES, INC.",Major Banks,Finance
FFIV,"F5 NETWORKS, INC.",Computer Communications Equipment,Technology
FFNW,"FIRST FINANCIAL NORTHWEST, INC.",Major Banks,Finance
FFWM,FIRST FOUNDATION INC.,Major Banks,Finance
FGBI,"FIRST GUARANTY BANCSHARES, INC.",Savings Institutions,Finance
FGEN,"FIBROGEN, INC",Major Pharmaceuticals,Health Care
FHB,"FIRST HAWAIIAN, INC.",Major Banks,Finance
FHN,FIRST HORIZON NATIONAL CORPORATION,Major Banks,Finance
FI,FRANK'S INTERNATIONAL N.V.,Oilfield Services/Equipment,Energy
FIBK,"FIRST INTERSTATE BANCSYSTEM, INC.",Major Banks,Finance
FICO,FAIR ISAAC CORPORATION,Business Services,Miscellaneous
FIF,FIRST TRUST ENERGY INFRASTRUCTURE FUND,,
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",Business Services,Miscellaneous
FISI,"FINANCIAL INSTITUTIONS, INC.",Major Banks,Finance
FISV,"FISERV, INC.",EDP Services,Technology
FIT,"FITBIT, INC.",Computer Manufacturing,Technology
FITB,FIFTH THIRD BANCORP,Major Banks,Finance
FIVE,"FIVE BELOW, INC.",Department/Specialty Retail Stores,Consumer Services
FIVN,"FIVE9, INC.",EDP Services,Technology
FIX,"COMFORT SYSTEMS USA, INC.",Engineering & Construction,Capital Goods
FIZZ,NATIONAL BEVERAGE CORP.,Beverages (Production/Distribution),Consumer Non-Durables
FL,"FOOT LOCKER, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
FLDM,FLUIDIGM CORPORATION,Biotechnology: Laboratory Analytical Instruments,Capital Goods
FLDR,FIDELITY MERRIMACK STREET TRUST,Exchange Traded Fund,Financial
FLEX,FLEX LTD.,Electrical Products,Technology
FLIC,THE FIRST OF LONG ISLAND CORPORATION,Major Banks,Finance
FLIR,"FLIR SYSTEMS, INC.",Industrial Machinery/Components,Capital Goods
FLO,"FLOWERS FOODS, INC.",Packaged Foods,Consumer Non-Durables
FLOW,"SPX FLOW, INC.",Industrial Machinery/Components,Technology
FLR,FLUOR CORPORATION,Military/Government/Technical,Basic Industries
FLS,FLOWSERVE CORPORATION,Fluid Controls,Capital Goods
FLT,"FLEETCOR TECHNOLOGIES, INC.",Business Services,Miscellaneous
FLWS,"1-800-FLOWERS.COM, INC.",Other Specialty Stores,Consumer Services
FLXN,"FLEXION THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
FLXS,"FLEXSTEEL INDUSTRIES, INC.",Home Furnishings,Consumer Durables
FMAO,"FARMERS & MERCHANTS BANCORP, INC.",Savings Institutions,Finance
FMBH,"FIRST MID BANCSHARES, INC.",Major Banks,Finance
FMBI,"FIRST MIDWEST BANCORP, INC.",Major Banks,Finance
FMC,FMC CORPORATION,Major Chemicals,Basic Industries
FMNB,FARMERS NATIONAL BANC CORP.,Major Banks,Finance
FN,FABRINET,Telecommunications Equipment,Public Utilities
FNB,F.N.B. CORPORATION,Major Banks,Finance
FND,"FLOOR & DECOR HOLDINGS, INC.",RETAIL: Building Materials,Consumer Services
FNF,"FIDELITY NATIONAL FINANCIAL, INC.",Specialty Insurers,Finance
FNHC,FEDNAT HOLDING COMPANY,Property-Casualty Insurers,Finance
FNLC,"FIRST BANCORP, INC (ME)",Major Banks,Finance
FNWB,FIRST NORTHWEST BANCORP,Banks,Finance
FOE,FERRO CORPORATION,Paints/Coatings,Basic Industries
FOLD,"AMICUS THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
FONR,FONAR CORPORATION,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
FOR,FORESTAR GROUP INC,Real Estate,Finance
FORM,"FORMFACTOR, INC.",Semiconductors,Technology
FORR,"FORRESTER RESEARCH, INC.",Diversified Commercial Services,Consumer Services
FOSL,"FOSSIL GROUP, INC.",Consumer Specialties,Consumer Non-Durables
FOX,FOX CORPORATION,Broadcasting,Consumer Services
FOXA,FOX CORPORATION,Broadcasting,Consumer Services
FOXF,FOX FACTORY HOLDING CORP.,Motor Vehicles,Consumer Non-Durables
FPI,FARMLAND PARTNERS INC.,Real Estate Investment Trusts,Consumer Services
FPL,FIRST TRUST NEW OPPORTUNITIES MLP & ENERGY FUND,,
FPRX,"FIVE PRIME THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
FR,"FIRST INDUSTRIAL REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
FRAN,FRANCESCA'S HOLDINGS CORPORATION,Clothing/Shoe/Accessory Stores,Consumer Services
FRBK,"REPUBLIC FIRST BANCORP, INC.",Major Banks,Finance
FRC,FIRST REPUBLIC BANK,,
FRGI,"FIESTA RESTAURANT GROUP, INC.",Restaurants,Consumer Services
FRME,FIRST MERCHANTS CORPORATION,Major Banks,Finance
FRO,FRONTLINE LTD.,Marine Transportation,Transportation
FRPH,"FRP HOLDINGS, INC.",Real Estate,Finance
FRPT,"FRESHPET, INC.",Packaged Foods,Consumer Non-Durables
FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate Investment Trusts,Consumer Services
FRTA,"FORTERRA, INC.",Building Materials,Capital Goods
FSLR,"FIRST SOLAR, INC.",Semiconductors,Technology
FSP,FRANKLIN STREET PROPERTIES CORP.,Real Estate Investment Trusts,Consumer Services
FSS,FEDERAL SIGNAL CORPORATION,Auto Manufacturing,Capital Goods
FSTR,L.B. FOSTER COMPANY,Metal Fabrications,Basic Industries
FTEK,"FUEL TECH, INC.",Pollution Control Equipment,Capital Goods
FTI,TECHNIPFMC PLC,Metal Fabrications,Energy
FTK,"FLOTEK INDUSTRIES, INC.",Major Chemicals,Basic Industries
FTNT,"FORTINET, INC.",Computer peripheral equipment,Technology
FTV,FORTIVE CORPORATION,Industrial Machinery/Components,Capital Goods
FUL,H. B. FULLER COMPANY,Home Furnishings,Basic Industries
FULT,FULTON FINANCIAL CORPORATION,Major Banks,Finance
FVE,FIVE STAR SENIOR LIVING INC.,Hospital/Nursing Management,Health Care
FWONA,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
FWONK,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
FWRD,FORWARD AIR CORPORATION,Oil Refining/Marketing,Transportation
G,GENPACT LIMITED,Professional Services,Consumer Services
GABC,"GERMAN AMERICAN BANCORP, INC.",Major Banks,Finance
GAIA,"GAIA, INC.",Movies/Entertainment,Consumer Services
GAIN,GLADSTONE INVESTMENT CORPORATION,,
GARS,GARRISON CAPITAL INC.,,
GATX,GATX CORPORATION,Transportation Services,Consumer Services
GB,GLOBAL BLUE GROUP HOLDING AG,EDP Services,Technology
GBCI,"GLACIER BANCORP, INC.",Major Banks,Finance
GBDC,"GOLUB CAPITAL BDC, INC.",,
GBL,"GAMCO INVESTORS, INC.",Investment Bankers/Brokers/Service,Finance
GBLI,"GLOBAL INDEMNITY GROUP, LLC",Property-Casualty Insurers,Finance
GBT,"GLOBAL BLOOD THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
GBX,"GREENBRIER COMPANIES, INC. (THE)",Railroads,Capital Goods
GCBC,"GREENE COUNTY BANCORP, INC.",Banks,Finance
GCI,"GANNETT CO., INC.",Newspapers/Magazines,Consumer Services
GCO,GENESCO INC.,Clothing/Shoe/Accessory Stores,Consumer Services
GCP,GCP APPLIED TECHNOLOGIES INC.,Major Chemicals,Basic Industries
GD,GENERAL DYNAMICS CORPORATION,Marine Transportation,Capital Goods
GDDY,GODADDY INC.,EDP Services,Technology
GDEN,"GOLDEN ENTERTAINMENT, INC.",Services-Misc. Amusement & Recreation,Consumer Services
GDOT,GREEN DOT CORPORATION,Finance: Consumer Services,Finance
GDP,GOODRICH PETROLEUM CORPORATION,Oil & Gas Production,Energy
GE,GENERAL ELECTRIC COMPANY,Consumer Electronics/Appliances,Energy
GEF,"GREIF, INC.",,
GEF-B,"GREIF, INC.",,
GEN,"GENESIS HEALTHCARE, INC.",Hospital/Nursing Management,Health Care
GENC,GENCOR INDUSTRIES INC.,Construction/Ag Equipment/Trucks,Capital Goods
GEO,GEO GROUP INC (THE),Real Estate Investment Trusts,Consumer Services
GEOS,GEOSPACE TECHNOLOGIES CORPORATION,Industrial Machinery/Components,Capital Goods
GERN,GERON CORPORATION,Major Pharmaceuticals,Health Care
GES,"GUESS, INC.",Apparel,Consumer Non-Durables
GEVO,"GEVO, INC.",Major Chemicals,Basic Industries
GFF,GRIFFON CORPORATION,Building Products,Capital Goods
GGG,GRACO INC.,Fluid Controls,Capital Goods
GHC,GRAHAM HOLDINGS COMPANY,Other Consumer Services,Consumer Services
GHL,"GREENHILL & CO., INC.",Investment Bankers/Brokers/Service,Finance
GHM,GRAHAM CORPORATION,Industrial Machinery/Components,Technology
GIFI,"GULF ISLAND FABRICATION, INC.",Metal Fabrications,Capital Goods
GIII,"G-III APPAREL GROUP, LTD.",Apparel,Consumer Non-Durables
GILD,"GILEAD SCIENCES, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
GIS,"GENERAL MILLS, INC.",Packaged Foods,Consumer Non-Durables
GKOS,GLAUKOS CORPORATION,Medical/Dental Instruments,Health Care
GLAD,GLADSTONE CAPITAL CORPORATION,Textiles,Consumer Non-Durables
GLDD,GREAT LAKES DREDGE & DOCK CORPORATION,Military/Government/Technical,Basic Industries
GLG,"TD HOLDINGS, INC.",Major Banks,Finance
GLNG,GOLAR LNG LIMITED,Marine Transportation,Consumer Services
GLOG,GASLOG LP.,Marine Transportation,Consumer Services
GLPI,"GAMING AND LEISURE PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
GLRE,"GREENLIGHT REINSURANCE, LTD.",Property-Casualty Insurers,Finance
GLT,GLATFELTER,Paper,Basic Industries
GLUU,GLU MOBILE INC.,EDP Services,Technology
GLW,CORNING INCORPORATED,Telecommunications Equipment,Basic Industries
GM,GENERAL MOTORS COMPANY,Auto Manufacturing,Capital Goods
GMAN,GOLDMAN SACHS MANUFACTURING REVOLUTION ETF,Exchange Traded Fund,Financial
GME,GAMESTOP CORPORATION,Electronics Distribution,Consumer Services
GMED,"GLOBUS MEDICAL, INC.",Medical/Dental Instruments,Health Care
GMO,"GENERAL MOLY, INC",Precious Metals,Basic Industries
GMRE,GLOBAL MEDICAL REIT INC.,Real Estate Investment Trusts,Consumer Services
GMS,GMS INC.,RETAIL: Building Materials,Consumer Services
GNCA,"GENOCEA BIOSCIENCES, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
GNE,GENIE ENERGY LTD.,Power Generation,Public Utilities
GNK,GENCO SHIPPING & TRADING LIMITED,Marine Transportation,Transportation
GNL,"GLOBAL NET LEASE, INC.",Real Estate Investment Trusts,Consumer Services
GNMK,"GENMARK DIAGNOSTICS, INC.",Medical/Dental Instruments,Health Care
GNOM,GLOBAL X GENOMICS & BIOTECHNOLOGY ETF,,
GNRC,GENERAC HOLDLINGS INC.,Metal Fabrications,Consumer Durables
GNTX,GENTEX CORPORATION,Auto Parts:O.E.M.,Capital Goods
GNTY,"GUARANTY BANCSHARES, INC.",Major Banks,Finance
GNW,GENWORTH FINANCIAL INC,Life Insurance,Finance
GOGO,GOGO INC.,Telecommunications Equipment,Consumer Services
GOLF,ACUSHNET HOLDINGS CORP.,Recreational Products/Toys,Consumer Non-Durables
GOOD,GLADSTONE COMMERCIAL CORPORATION,Real Estate,Consumer Services
GOOG,ALPHABET INC.,"Computer Software: Programming, Data Processing",Technology
GOOGL,ALPHABET INC.,"Computer Software: Programming, Data Processing",Technology
GORO,GOLD RESOURCE CORPORATION,Precious Metals,Basic Industries
GPC,GENUINE PARTS COMPANY,Automotive Aftermarket,Capital Goods
GPI,"GROUP 1 AUTOMOTIVE, INC.",Automotive Aftermarket,Consumer Durables
GPK,GRAPHIC PACKAGING HOLDING COMPANY,Containers/Packaging,Consumer Durables
GPN,GLOBAL PAYMENTS INC.,Business Services,Miscellaneous
GPOR,GULFPORT ENERGY CORPORATION,Oil & Gas Production,Energy
GPRE,"GREEN PLAINS, INC.",Major Chemicals,Basic Industries
GPRO,"GOPRO, INC.",Industrial Machinery/Components,Miscellaneous
GPS,"GAP, INC. (THE)",Clothing/Shoe/Accessory Stores,Consumer Services
GPX,GP STRATEGIES CORPORATION,Other Consumer Services,Consumer Services
GRA,W.R. GRACE & CO.,Major Chemicals,Basic Industries
GRBK,"GREEN BRICK PARTNERS, INC.",Homebuilding,Capital Goods
GRC,GORMAN-RUPP COMPANY (THE),Fluid Controls,Capital Goods
GRIF,"GRIFFIN INDUSTRIAL REALTY, INC.",Real Estate,Finance
GRMN,GARMIN LTD.,Industrial Machinery/Components,Capital Goods
GRNB,VANECK VECTORS GREEN BOND ETF,Exchange Traded Fund,Financial
GROW,"U.S. GLOBAL INVESTORS, INC.",Investment Managers,Finance
GRPN,"GROUPON, INC.",Advertising,Technology
GRUB,GRUBHUB INC.,Business Services,Miscellaneous
GS,"GOLDMAN SACHS GROUP, INC. (THE)",Investment Bankers/Brokers/Service,Finance
GSAT,"GLOBALSTAR, INC.",Telecommunications Equipment,Consumer Services
GSBC,"GREAT SOUTHERN BANCORP, INC.",Major Banks,Finance
GSIG,,,
GSIT,"GSI TECHNOLOGY, INC.",Semiconductors,Technology
GSM,FERROGLOBE PLC,Metal Fabrications,Capital Goods
GSS,"GOLDEN STAR RESOURCES, LTD",Precious Metals,Basic Industries
GSX,GSX TECHEDU INC.,Other Consumer Services,Consumer Services
GT,THE GOODYEAR TIRE & RUBBER COMPANY,Automotive Aftermarket,Consumer Durables
GTE,GRAN TIERRA ENERGY INC.,Oil & Gas Production,Energy
GTLS,"CHART INDUSTRIES, INC.",Metal Fabrications,Capital Goods
GTN,"GRAY TELEVISION, INC.",Broadcasting,Consumer Services
GTS,TRIPLE-S MANAGEMENT CORPORATION,Accident &Health Insurance,Finance
GTT,"GTT COMMUNICATIONS, INC.",Telecommunications Equipment,Public Utilities
GTY,GETTY REALTY CORPORATION,Real Estate,Finance
GVA,GRANITE CONSTRUCTION INCORPORATED,Military/Government/Technical,Basic Industries
GVP,"GSE SYSTEMS, INC.",Computer Software: Prepackaged Software,Technology
GWB,"GREAT WESTERN BANCORP, INC.",Major Banks,Finance
GWRE,"GUIDEWIRE SOFTWARE, INC.",Computer Software: Prepackaged Software,Technology
GWRS,"GLOBAL WATER RESOURCES, INC.",Water Supply,Public Utilities
GWW,"W.W. GRAINGER, INC.",Office Equipment/Supplies/Services,Consumer Services
H,HYATT HOTELS CORPORATION,Hotels/Resorts,Consumer Services
HA,"HAWAIIAN HOLDINGS, INC.",Air Freight/Delivery Services,Transportation
HAE,HAEMONETICS CORPORATION,Medical/Dental Instruments,Health Care
HAFC,HANMI FINANCIAL CORPORATION,Major Banks,Finance
HAIN,"THE HAIN CELESTIAL GROUP, INC.",Packaged Foods,Consumer Non-Durables
HAL,HALLIBURTON COMPANY,Oilfield Services/Equipment,Energy
HALL,"HALLMARK FINANCIAL SERVICES, INC.",Property-Casualty Insurers,Finance
