company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
SMTA,359.95M,N/A,N/A,N/A,N/A,N/A
NTGN,76.46M,2.60,N/A,N/A,N/A,N/A
PRAA,1.26B,1.08,1.29,8.69%,3.83%,9.16%
AAXN,4.23B,7.79,0.73,-0.26%,-0.61%,-0.28%
LEA,4.84B,1.11,1.63,3.15%,5.68%,15.11%
RESI,646.64M,1.91,0.67,-51.31%,-0.37%,-28.54%
FDP,1.32B,0.77,0.75,0.98%,1.44%,2.53%
USWS,20.36M,0.15,N/A,-50.10%,-7.41%,-247.42%
VMW,61.85B,10.64,0.91,59.31%,4.33%,128.40%
VSEC,180.77M,0.50,1.70,4.44%,5.03%,9.59%
SENS,186.36M,7.35,0.41,0.00%,-55.79%,-369.09%
VRAY,368.49M,1.71,0.85,-139.90%,-24.16%,-68.18%
CATM,930.02M,2.44,1.66,3.72%,3.54%,14.54%
ACOR,44.49M,0.14,1.62,-131.45%,-7.10%,-53.10%
RGR,890.07M,3.12,0.28,8.23%,7.76%,12.10%
ALE,3.14B,1.41,0.35,15.18%,2.21%,7.85%
BSET,99.72M,0.56,1.52,-0.30%,1.27%,-0.73%
TSBK,153.01M,0.87,1.41,37.73%,1.87%,14.10%
YRCW,63.14M,N/A,3.10,-1.05%,0.66%,N/A
CTMX,352.20M,6.89,0.77,-97.82%,-13.78%,-78.93%
PEB,1.42B,0.39,1.64,10.02%,1.51%,4.15%
DZSI,90.14M,0.85,1.31,-7.35%,-2.22%,-23.74%
MPB,171.74M,0.72,0.53,21.23%,0.78%,7.47%
IRET,668.97M,1.29,1.05,41.72%,0.58%,12.85%
OMER,728.77M,N/A,1.93,-78.52%,-38.63%,N/A
SBSI,1.00B,1.25,0.57,31.34%,0.88%,7.68%
SON,4.65B,2.58,0.82,5.61%,6.64%,16.82%
WDAY,42.83B,18.47,1.51,-13.25%,-5.09%,-21.63%
FRPT,2.57B,19.59,0.81,-0.59%,0.08%,-0.62%
GHC,1.79B,0.54,0.87,7.16%,3.53%,6.82%
PBPB,73.18M,1.06,1.30,-4.73%,-1.41%,-28.06%
GNC,39.61M,N/A,2.11,-11.13%,3.36%,N/A
KTB,1.09B,15.76,N/A,3.27%,5.34%,10.06%
AGE,35.02M,15.79,N/A,0.00%,-90.68%,-256.84%
IBKR,17.93B,12.35,0.58,7.90%,1.51%,13.55%
LSCC,2.40B,7.32,1.25,10.97%,5.78%,14.18%
NTLA,618.87M,2.29,1.62,-239.98%,-21.92%,-42.73%
WBS,2.06B,0.67,1.72,28.44%,1.07%,10.61%
QNST,418.10M,1.79,1.12,4.04%,1.99%,8.64%
MIC,2.19B,0.78,1.53,5.84%,1.84%,1.64%
CRMD,93.80M,3.97,2.99,0.00%,-49.57%,-88.23%
LMAT,502.85M,3.39,1.37,14.75%,7.65%,12.48%
SMP,927.56M,1.84,0.73,4.90%,6.32%,13.52%
MNTA,3.20B,7.04,1.50,0.00%,-33.75%,-66.94%
EVLO,120.98M,2.02,1.10,0.00%,-49.32%,-111.50%
AZZ,967.99M,1.48,1.41,4.54%,6.20%,7.79%
FORM,1.53B,2.39,1.38,8.05%,4.78%,7.90%
GTN,1.08B,0.73,2.04,11.69%,5.24%,12.10%
TORC,37.54M,0.46,2.43,0.00%,-45.04%,-72.85%
NP,724.20M,1.78,1.43,6.44%,6.48%,14.93%
ISTR,139.72M,0.58,0.65,20.01%,0.65%,6.20%
THS,2.49B,1.36,0.66,-8.48%,2.84%,-6.58%
AXLA,79.31M,1.32,N/A,0.00%,-51.24%,-147.07%
CUTR,190.39M,4.14,1.48,-9.30%,-10.15%,-45.54%
LANC,3.98B,5.15,0.20,10.44%,11.66%,18.76%
TH,517.69M,3.59,N/A,1.94%,10.06%,2.64%
BSRR,268.92M,1.36,1.19,29.85%,1.34%,11.56%
SGC,129.71M,0.82,0.52,3.40%,3.94%,8.42%
PDCO,2.11B,1.45,1.49,0.85%,2.28%,3.20%
PNM,3.03B,1.80,0.58,3.01%,1.28%,3.39%
TCI,178.80M,0.54,0.61,-36.39%,-0.92%,-4.34%
SBNY,4.31B,0.90,1.79,40.29%,1.07%,11.70%
SGEN,19.91B,10.62,1.40,-32.81%,-9.48%,-20.38%
GDEN,185.42M,0.64,2.27,-6.82%,1.16%,-22.34%
ETH,256.04M,0.71,1.08,2.59%,3.73%,4.96%
CWST,1.89B,15.37,1.01,4.50%,4.30%,34.15%
OPI,1.31B,0.77,1.23,1.10%,1.76%,0.41%
COKE,1.95B,5.63,0.76,0.67%,3.73%,8.67%
EIGI,270.14M,1.37,1.93,-1.00%,3.41%,-5.99%
OSTK,201.23M,1.75,3.62,-6.85%,-15.76%,-60.01%
PRI,3.58B,2.17,1.35,16.86%,2.61%,23.58%
RAVN,796.83M,2.53,1.38,7.02%,4.20%,8.11%
WNC,381.57M,0.73,1.96,-1.47%,5.44%,-7.26%
BRY,192.20M,0.20,"1,509.89",-6.45%,11.64%,-4.21%
KRNY,726.62M,0.66,0.72,25.08%,0.60%,3.60%
HIFS,309.81M,1.25,0.94,48.19%,1.22%,13.31%
BKU,1.73B,0.58,1.29,28.72%,0.65%,7.95%
ROKU,10.56B,15.11,1.93,-8.43%,-6.08%,-20.22%
UNIT,1.16B,N/A,0.94,-6.65%,4.56%,N/A
RCII,1.58B,3.66,1.47,8.06%,7.64%,55.96%
BPRN,157.37M,0.80,0.56,28.84%,0.95%,6.72%
GHL,184.71M,4.13,1.11,6.47%,4.30%,89.07%
PFBI,181.76M,0.76,0.79,31.55%,1.34%,9.87%
UNF,3.52B,2.10,0.88,9.45%,6.73%,10.73%
OMF,2.57B,0.59,2.51,28.90%,3.19%,20.99%
MGEE,2.27B,2.65,0.44,16.55%,3.60%,10.47%
FFBC,1.46B,0.65,1.28,31.61%,1.24%,8.39%
BDN,1.80B,1.07,1.08,6.61%,1.60%,2.25%
SPOT,22.58B,10.05,1.53,-0.61%,-0.29%,-1.92%
TPB,413.52M,3.88,0.73,2.91%,7.79%,10.81%
VBTX,692.32M,0.58,1.92,34.13%,1.06%,7.47%
WPC,10.01B,1.44,0.83,25.06%,2.55%,4.41%
BLDR,1.43B,1.73,2.45,2.62%,7.05%,26.58%
AMEH,661.07M,3.47,0.34,2.52%,3.46%,4.60%
CASA,290.55M,7.53,1.08,-9.59%,0.58%,-60.76%
UNB,100.65M,1.40,0.85,25.49%,1.21%,14.55%
RYN,3.04B,2.11,0.91,9.57%,2.44%,5.31%
OIS,123.72M,0.10,3.41,-63.08%,-1.92%,-55.80%
RGA,5.19B,0.45,1.19,4.34%,0.90%,6.45%
CNK,3.97B,2.67,1.78,5.83%,4.94%,13.57%
ESE,1.97B,2.15,0.97,18.00%,5.03%,8.65%
ACA,1.92B,1.07,N/A,6.46%,4.25%,6.66%
BANC,400.56M,0.56,1.89,5.38%,0.12%,1.14%
OSPN,731.70M,2.77,0.99,5.53%,3.71%,5.73%
UPWK,734.86M,2.86,N/A,-6.83%,-3.07%,-8.56%
GPRE,172.15M,0.23,1.92,-5.38%,-4.43%,-13.21%
LTRPA,143.01M,0.42,2.18,-3.08%,0.81%,-4.74%
HPR,40.86M,0.04,4.33,-256.76%,-42.40%,-177.94%
FL,3.97B,1.64,1.29,6.13%,8.56%,19.72%
GABC,728.52M,1.27,0.86,30.49%,1.38%,10.66%
MFIN,46.14M,0.18,2.54,-10.86%,0.90%,-4.05%
RGNX,1.20B,2.67,1.12,-197.23%,-19.18%,-22.61%
ACRE,233.46M,0.55,1.25,20.05%,0.60%,2.51%
KNX,5.57B,0.98,1.29,6.02%,3.28%,5.12%
LCUT,147.73M,0.60,0.99,-6.04%,2.53%,-17.22%
AAWW,670.66M,0.37,1.62,-8.88%,2.11%,-12.41%
USPH,1.46B,6.20,1.28,8.39%,8.40%,15.68%
ATRC,1.35B,5.44,0.78,-19.98%,-5.78%,-19.70%
SKY,888.52M,1.89,N/A,4.25%,7.29%,13.12%
MYOK,2.19B,5.38,2.11,0.00%,-36.86%,-64.22%
CATY,1.82B,0.79,1.51,44.27%,1.46%,11.59%
WRI,1.85B,1.09,1.45,67.05%,2.35%,17.95%
FCBP,175.06M,0.67,0.67,31.70%,1.48%,9.93%
WW,1.14B,N/A,2.67,8.56%,11.65%,N/A
TSLA,96.94B,14.65,1.16,-0.55%,1.59%,-0.47%
CHEF,312.07M,0.93,1.97,0.56%,2.96%,2.86%
CTT,354.08M,1.83,1.27,-137.49%,-5.03%,-30.80%
YORW,566.03M,4.22,0.15,29.63%,3.96%,11.84%
EPM,86.02M,1.12,1.50,31.53%,6.87%,14.72%
VRTS,585.70M,1.04,1.55,12.06%,2.59%,11.52%
EBF,523.83M,1.73,0.42,8.73%,8.69%,13.13%
CPF,447.03M,0.85,1.30,24.01%,0.85%,9.77%
AMN,2.71B,3.68,0.44,4.05%,5.36%,13.27%
THR,881.11M,2.49,1.26,5.30%,4.23%,6.13%
MMS,3.57B,2.75,0.91,6.71%,9.62%,18.16%
DHX,116.81M,0.72,1.44,2.96%,3.62%,2.96%
WSBF,382.04M,0.97,0.24,18.73%,1.78%,9.37%
WTS,2.86B,2.92,0.93,8.31%,7.32%,14.15%
MGPI,454.32M,1.97,1.72,10.44%,9.75%,17.66%
GFF,600.00M,1.21,2.23,1.82%,4.15%,8.81%
SUPN,945.14M,1.59,1.61,28.89%,8.59%,21.26%
CDR,83.35M,0.24,1.58,-2.71%,1.91%,-0.68%
HTH,1.36B,0.65,1.26,14.19%,1.70%,11.92%
TRUE,259.38M,0.79,1.27,-14.55%,-5.34%,-15.46%
PLUS,1.14B,2.53,1.12,4.58%,6.69%,16.08%
OPBK,113.83M,0.80,0.52,28.93%,1.34%,11.32%
MAXR,641.87M,0.84,1.09,7.30%,-0.35%,11.80%
SYBX,55.83M,0.36,1.98,0.00%,-22.58%,-42.67%
SSP,613.68M,0.68,1.80,-1.50%,2.20%,-2.59%
THC,1.51B,N/A,2.31,-0.69%,5.23%,11.54%
KW,1.93B,1.39,1.27,36.14%,0.45%,21.21%
FIVN,4.74B,24.13,0.71,-2.89%,-0.08%,-5.64%
CCO,298.50M,N/A,2.15,-18.00%,2.12%,N/A
POST,5.80B,1.73,0.59,-2.35%,3.86%,-4.02%
UBER,48.30B,3.40,N/A,-71.48%,-19.86%,-115.34%
LLNW,681.96M,4.09,1.02,-5.94%,-3.66%,-7.88%
AKRX,70.87M,0.30,1.14,-55.64%,-0.94%,-231.80%
TPTX,1.60B,3.97,N/A,0.00%,-23.50%,-51.03%
CERC,154.80M,7.18,1.76,0.00%,-20.56%,-136.58%
HZO,223.72M,0.59,1.74,3.06%,5.38%,10.56%
LCI,269.25M,0.83,1.93,-5.77%,3.09%,-9.62%
VRTV,124.19M,0.23,1.81,-0.04%,1.98%,-0.61%
KVHI,169.61M,1.13,0.71,21.06%,-7.27%,-13.24%
OKTA,15.52B,39.42,0.98,-35.65%,-7.75%,-63.53%
NXST,2.61B,1.28,1.83,9.48%,5.28%,16.79%
H,4.84B,1.22,1.44,25.34%,1.59%,16.36%
PRTA,427.05M,1.56,1.79,0.00%,-12.75%,-28.35%
SMBK,233.29M,0.74,0.82,27.35%,0.94%,7.84%
BOOT,372.02M,1.18,N/A,5.67%,5.90%,16.37%
ALTR,1.93B,5.41,1.55,-3.14%,0.25%,-4.42%
IRDM,2.95B,2.02,1.45,-30.71%,0.40%,-11.71%
DXPE,217.26M,0.63,2.76,2.74%,4.96%,10.24%
SLP,574.47M,14.66,-0.27,24.28%,15.36%,24.54%
TMP,1.07B,1.61,0.59,25.47%,1.02%,10.34%
SPR,2.51B,1.42,1.50,2.93%,4.67%,14.69%
PINC,2.33B,N/A,0.21,8.93%,8.88%,N/A
SIG,1.27B,1.21,2.28,1.72%,3.84%,5.77%
RUN,1.21B,1.26,1.37,1.40%,-2.75%,-27.09%
NVEE,532.38M,1.49,1.35,4.02%,3.15%,6.49%
TNC,1.07B,2.97,1.12,4.04%,4.78%,13.46%
BRO,10.27B,3.06,0.65,17.74%,5.97%,13.29%
TRST,521.70M,0.97,1.24,32.89%,1.09%,10.78%
SXT,1.84B,2.09,1.06,5.28%,5.39%,8.14%
GENC,153.16M,0.97,0.74,5.50%,2.31%,2.77%
COOP,674.36M,0.30,1.15,14.35%,0.92%,14.89%
MOG-A,1.65B,1.23,1.54,6.47%,5.76%,15.29%
NHC,1.10B,1.41,0.31,2.00%,2.56%,2.67%
BHE,727.94M,0.72,1.07,0.62%,1.79%,1.31%
TEX,985.10M,1.06,1.62,2.37%,4.22%,16.30%
XFOR,161.42M,1.25,N/A,0.00%,-27.13%,-71.61%
UTX,81.70B,1.96,N/A,N/A,N/A,N/A
ASRT,52.86M,0.91,2.16,-83.28%,-2.60%,-110.51%
UFPT,285.02M,1.76,0.78,9.99%,7.92%,12.81%
CMLS,96.70M,0.21,N/A,4.98%,4.72%,12.75%
GLRE,222.73M,0.47,1.13,-10.99%,-1.89%,-10.89%
RP,5.10B,4.34,1.05,5.10%,2.38%,4.62%
PTCT,2.80B,4.71,1.48,-90.83%,-10.47%,-56.09%
RIGL,262.97M,4.89,1.25,-27.39%,-11.74%,-32.28%
GNTX,5.43B,2.80,1.12,22.23%,13.85%,22.21%
AVA,2.86B,1.47,0.48,9.68%,2.24%,6.76%
BXS,1.94B,0.77,1.45,22.72%,1.05%,8.43%
PBF,849.51M,0.28,2.75,-3.97%,2.73%,-31.34%
AWR,3.01B,3.42,-0.07,17.78%,5.27%,14.68%
STRA,3.10B,2.12,0.65,10.32%,5.17%,7.28%
PE,2.36B,0.41,2.15,-151.11%,3.79%,-64.70%
RXN,2.76B,1.99,1.58,8.71%,5.73%,14.32%
THOR,524.97M,3.18,N/A,0.00%,-31.68%,-85.54%
WH,2.93B,2.42,1.66,11.28%,5.76%,12.76%
FIZZ,2.00B,5.01,1.06,12.26%,16.77%,32.95%
UMPQ,2.40B,0.56,1.29,-148.39%,-5.73%,-47.49%
MLR,322.55M,1.25,0.91,4.50%,7.35%,14.47%
FOLD,2.38B,4.99,1.30,-155.73%,-24.78%,-76.10%
SRRK,360.98M,3.20,N/A,-255.69%,-21.83%,-58.43%
ACM,4.74B,1.29,1.74,-2.19%,3.25%,-4.73%
AVD,435.64M,1.27,1.00,2.20%,1.98%,3.08%
PWOD,171.10M,1.10,0.64,25.60%,0.87%,9.76%
MEIP,170.66M,2.21,1.85,0.00%,-33.50%,-43.58%
RNG,18.64B,24.95,0.59,-11.14%,-2.25%,-26.28%
GDOT,1.34B,1.45,N/A,7.32%,2.71%,8.41%
GH,6.57B,8.24,N/A,-31.53%,-7.63%,-11.65%
UNVR,1.81B,1.04,2.05,0.21%,3.36%,1.17%
FTDR,2.97B,N/A,N/A,11.02%,13.77%,N/A
TDW,285.04M,0.28,1.47,-28.80%,-1.69%,-13.02%
MPWR,7.49B,9.68,1.25,18.15%,7.46%,15.86%
SP,477.19M,1.28,1.28,-0.86%,3.91%,-1.40%
SRG,509.04M,0.70,2.08,-52.97%,-1.89%,-10.37%
POWI,2.62B,3.62,1.07,45.82%,4.99%,31.70%
ARWR,2.93B,5.85,1.81,6.86%,0.16%,2.75%
BOMN,425.78M,1.23,0.06,-50.68%,-1.30%,-6.93%
ODP,863.20M,0.40,2.31,1.28%,3.52%,6.41%
CFFN,1.64B,1.26,0.48,36.50%,0.76%,5.45%
HPP,3.89B,1.14,0.81,11.37%,1.33%,2.80%
SENEA,373.69M,0.91,0.53,1.74%,2.55%,5.03%
SQ,22.98B,13.40,2.63,5.99%,-0.50%,21.01%
TRN,1.90B,0.94,1.70,8.91%,2.60%,10.75%
FOSL,398.07M,0.78,1.03,-2.36%,1.04%,-9.16%
EXTN,159.12M,0.39,1.31,-9.80%,2.12%,-26.50%
IAA,4.01B,N/A,N/A,12.68%,9.32%,71.18%
HFWA,724.51M,0.89,0.71,28.56%,1.16%,8.02%
PNFP,2.85B,0.65,1.41,35.84%,1.22%,7.94%
TGNA,2.37B,1.49,1.37,12.10%,6.60%,19.39%
VRRM,1.15B,3.40,N/A,7.96%,4.84%,11.46%
CFR,3.49B,0.93,1.65,29.63%,1.16%,10.29%
TIPT,179.70M,0.45,0.57,-6.41%,-1.10%,-12.11%
ADES,121.52M,1.12,0.93,30.53%,-6.70%,18.53%
VLGEA,224.22M,0.99,0.10,0.98%,2.37%,5.14%
EYE,1.56B,2.01,2.04,1.45%,2.39%,3.24%
KE,272.86M,0.72,1.29,2.19%,3.47%,7.35%
LDL,114.32M,0.36,2.93,-15.96%,0.21%,-41.74%
RRR,1.00B,2.00,2.57,-9.34%,2.62%,-28.70%
ATR,6.39B,4.07,0.62,8.26%,6.67%,15.35%
GTT,464.69M,1.60,1.74,-9.51%,1.58%,-58.14%
PEGA,5.70B,10.58,1.24,-9.03%,-6.44%,-15.08%
JCP,238.40M,0.27,1.37,-2.40%,0.52%,-26.81%
HOPE,1.01B,0.50,1.71,31.77%,0.98%,7.78%
NBN,100.67M,0.62,1.74,16.65%,0.89%,6.98%
BXC,46.36M,N/A,1.89,-0.44%,1.49%,N/A
UFPI,2.30B,1.83,1.59,4.16%,8.66%,15.51%
NUS,1.16B,1.33,1.12,6.49%,8.40%,18.65%
PHUN,27.25M,6.77,N/A,-80.97%,-26.68%,-219.41%
TCDA,1.10B,4.16,N/A,0.00%,-48.97%,-118.66%
BFC,400.73M,1.74,0.38,34.00%,1.37%,13.13%
QEP,81.01M,0.03,4.89,33.59%,6.91%,13.66%
RBBN,437.38M,0.91,0.92,-21.99%,0.78%,-23.38%
PI,378.93M,3.03,2.56,-12.08%,-6.01%,-18.04%
IVC,256.03M,0.83,1.24,-4.19%,0.50%,-11.82%
AAN,1.53B,0.88,1.55,-7.55%,7.47%,-18.69%
IBKC,1.90B,0.46,1.70,28.66%,1.01%,7.55%
MORN,4.97B,4.59,1.17,11.47%,6.00%,14.26%
PAHC,977.76M,4.50,0.47,4.49%,5.86%,17.95%
PRLB,2.03B,3.46,1.70,13.49%,7.45%,10.99%
SATS,3.13B,0.85,0.68,-6.93%,0.44%,-4.29%
PLAB,836.02M,1.09,0.83,5.95%,3.32%,4.78%
DLTH,274.83M,1.79,0.99,3.07%,4.57%,11.00%
CHMG,160.62M,0.88,0.07,18.81%,0.75%,7.53%
KPTI,1.40B,28.21,1.58,0.00%,-30.52%,-129.67%
NYCB,4.38B,0.71,0.97,39.47%,0.75%,6.00%
VVI,1.37B,2.95,1.54,2.10%,N/A,N/A
MKL,12.78B,1.15,0.63,-2.59%,-0.22%,-1.81%
AMKR,1.88B,0.96,1.73,4.82%,3.93%,10.78%
WSR,261.24M,0.76,1.45,18.57%,2.08%,6.51%
MLAB,1.09B,4.76,0.37,4.03%,3.63%,2.59%
SONA,239.07M,0.63,1.05,29.57%,0.99%,7.43%
GMED,4.17B,2.97,0.98,18.66%,7.46%,11.38%
MRSN,279.88M,3.57,2.17,0.00%,-35.06%,-71.63%
SKT,465.38M,1.07,1.91,-0.29%,3.64%,-0.29%
KRYS,751.10M,3.70,1.10,0.00%,-9.09%,-13.20%
BJ,2.82B,N/A,N/A,1.42%,5.43%,N/A
MNRO,2.60B,3.55,1.15,6.25%,5.74%,10.97%
PCH,2.10B,1.71,1.37,3.78%,2.58%,2.66%
ADMA,248.67M,9.49,2.03,-151.18%,-19.48%,-102.39%
LFUS,3.24B,2.17,1.11,8.77%,4.63%,8.50%
SFNC,2.08B,0.67,0.98,32.42%,1.45%,10.40%
NSIT,1.48B,1.27,1.53,1.88%,4.70%,14.15%
CIA,328.23M,1.26,0.26,-0.47%,0.06%,-0.54%
AAOI,153.69M,0.56,2.07,-40.52%,-7.23%,-24.91%
BKI,8.71B,4.59,0.86,11.22%,4.72%,7.11%
MANT,2.92B,1.96,0.74,5.21%,4.40%,8.31%
SJI,2.31B,1.62,0.82,6.05%,2.46%,6.15%
WPG,150.84M,0.25,1.63,1.99%,1.30%,1.32%
AOSL,160.74M,0.54,2.31,-0.87%,-1.08%,-4.24%
SAGE,1.49B,1.58,2.74,0.00%,-35.36%,-59.35%
Y,7.90B,0.90,0.68,0.69%,0.49%,0.98%
ASGN,1.85B,1.34,2.23,4.60%,6.96%,13.99%
EXAS,8.67B,3.79,1.88,-10.05%,-3.72%,-6.44%
CVCO,1.78B,3.12,1.55,7.93%,7.71%,15.04%
TITN,272.71M,0.80,1.94,1.07%,1.77%,4.10%
CNNE,2.65B,1.78,0.70,75.64%,-2.58%,43.97%
INOV,2.59B,3.77,0.65,2.21%,2.31%,2.16%
SAH,569.24M,0.60,2.66,-0.94%,4.39%,-12.32%
FBK,632.37M,0.83,1.43,18.94%,1.08%,8.80%
CABO,9.41B,11.18,0.47,17.28%,7.23%,26.48%
NVTA,1.39B,3.67,2.08,-125.90%,-25.32%,-94.25%
VAC,5.35B,1.72,2.44,4.25%,3.87%,4.37%
PGC,338.40M,0.67,1.18,24.02%,0.71%,7.64%
THG,3.44B,1.18,0.87,5.56%,1.84%,9.45%
SKYW,1.31B,0.60,1.86,9.47%,4.56%,13.54%
EAT,443.17M,N/A,2.19,3.59%,7.09%,N/A
IMGN,594.23M,N/A,2.28,-102.87%,-10.57%,N/A
SEM,2.01B,2.17,1.48,2.90%,4.32%,13.01%
BL,2.97B,7.44,0.85,-11.90%,-2.16%,-9.37%
OLN,1.84B,0.76,1.47,-2.22%,0.83%,-5.19%
ILPT,1.14B,1.15,0.90,19.62%,3.05%,4.57%
UFCS,816.92M,0.90,0.08,-9.52%,-3.05%,-11.43%
UCTT,551.48M,1.26,1.69,-0.05%,3.76%,0.31%
EGP,4.08B,3.40,0.81,35.93%,3.11%,11.74%
MDU,4.31B,1.51,0.83,5.87%,3.90%,11.75%
CCBG,338.25M,1.03,0.94,18.62%,0.93%,8.90%
ESXB,108.24M,0.70,1.21,26.19%,0.95%,9.15%
QGEN,9.49B,3.74,0.31,-2.01%,3.42%,-1.22%
COHU,516.07M,1.07,1.94,-11.20%,-1.50%,-12.78%
FII,1.93B,1.85,1.27,20.45%,12.98%,24.57%
BMRN,15.27B,4.89,1.00,6.32%,-0.24%,3.69%
TRC,368.55M,0.86,0.70,19.89%,-0.28%,2.23%
GNLN,135.78M,5.38,N/A,-15.58%,-13.05%,-77.17%
ON,5.09B,1.54,2.26,1.55%,3.70%,2.67%
SANM,1.86B,1.11,0.95,1.44%,3.61%,6.62%
VICR,1.81B,8.81,0.72,3.10%,1.92%,4.06%
ALTM,243.70M,N/A,N/A,-266.70%,1.06%,-105.17%
DCPH,2.29B,4.19,2.24,0.00%,-28.00%,-47.72%
FATE,1.69B,6.90,1.75,0.00%,-26.43%,-61.31%
HTA,5.30B,1.58,0.57,4.87%,1.45%,1.05%
KLDO,187.09M,3.83,N/A,0.00%,-53.70%,-121.72%
BLKB,2.76B,6.95,1.10,1.95%,1.52%,4.74%
SBRA,2.24B,0.64,1.36,30.32%,2.69%,5.64%
RES,443.44M,0.53,2.18,-21.81%,-3.17%,-30.87%
CLF,1.57B,4.40,1.92,11.99%,4.38%,35.83%
BLMN,624.16M,3.66,1.83,0.79%,N/A,N/A
GOLF,1.90B,2.07,0.83,5.74%,5.47%,10.45%
SALT,183.36M,0.21,1.48,-35.61%,0.22%,-9.52%
PDCE,617.38M,0.26,2.95,-32.39%,7.77%,-15.24%
SPAR,457.98M,2.66,1.37,-0.81%,9.21%,23.72%
LAD,1.86B,1.27,1.61,2.07%,5.17%,19.30%
HNRG,28.87M,0.15,0.27,-23.97%,-10.55%,-30.92%
OSIS,1.24B,2.23,0.84,6.51%,5.44%,14.46%
CMCT,161.94M,2.99,0.30,44.50%,1.13%,8.35%
SFIX,2.33B,5.70,2.81,1.47%,0.54%,6.43%
GNW,1.68B,0.12,1.32,1.31%,0.39%,1.88%
PCG,4.76B,0.93,1.11,-42.59%,1.40%,-78.58%
BRK-B,442.72B,1.05,0.79,3.90%,1.22%,2.77%
PCRX,1.41B,3.98,1.30,-0.02%,3.80%,-0.03%
HFFG,437.50M,0.73,N/A,-68.72%,1.29%,-220.71%
BPMC,3.17B,6.82,1.08,0.00%,-32.99%,-72.29%
AC,685.24M,0.76,N/A,-184.99%,-0.59%,-6.56%
PUMP,1.13B,1.20,3.31,7.94%,15.29%,18.45%
HALL,346.69M,1.20,1.44,6.39%,1.86%,10.03%
KALV,273.04M,2.79,2.44,-263.38%,-23.33%,-32.05%
HAFC,332.26M,0.59,1.36,12.98%,0.37%,3.66%
NGHC,1.88B,0.86,0.82,6.80%,2.88%,13.70%
CAKE,776.48M,1.36,1.40,3.86%,N/A,N/A
ABG,1.07B,1.65,1.59,2.28%,6.72%,27.97%
CVBF,2.72B,1.36,0.67,42.12%,1.70%,10.13%
EVI,188.01M,2.23,1.19,0.83%,2.01%,2.51%
TBI,460.99M,0.74,1.79,-4.14%,3.28%,-18.87%
CTRC,147.43M,N/A,0.90,-12.74%,3.30%,N/A
PD,1.81B,5.96,N/A,-30.26%,-10.98%,-24.43%
YMAB,1.04B,5.22,N/A,0.00%,-34.98%,-60.68%
SD,32.20M,0.08,3.61,-195.22%,-2.28%,-74.05%
CDAY,7.25B,3.86,1.63,9.03%,0.86%,4.26%
HNGR,589.15M,61.99,2.60,1.71%,4.55%,N/A
HE,4.70B,2.06,0.19,7.11%,1.50%,9.08%
ICUI,4.20B,3.05,0.60,6.87%,5.51%,6.53%
IGT,1.22B,0.65,1.89,-6.71%,3.04%,-8.57%
LCNB,163.13M,0.72,0.82,28.77%,1.18%,8.44%
RDN,2.47B,0.61,1.67,43.01%,8.53%,16.95%
SRDX,453.47M,3.68,N/A,6.59%,2.37%,5.52%
MITK,323.68M,2.90,0.22,5.05%,5.89%,4.39%
HMSY,2.23B,2.61,0.93,12.35%,5.45%,9.80%
GEOS,87.46M,0.49,1.98,-7.83%,-4.22%,-4.77%
CCF,836.75M,3.07,0.68,12.33%,9.43%,12.59%
CLNY,841.49M,0.20,2.15,-54.82%,1.25%,-20.38%
LORL,502.66M,1.44,1.58,0.00%,-1.36%,-23.78%
PGRE,1.95B,0.52,1.13,-4.89%,1.26%,-0.66%
PROV,113.97M,0.92,0.58,16.54%,0.62%,5.64%
ICHR,436.98M,1.97,2.60,1.79%,2.20%,5.85%
SCS,1.90B,2.04,1.59,5.36%,6.28%,21.94%
BMI,1.56B,4.71,0.82,11.26%,9.52%,14.96%
FLWS,850.46M,2.12,1.39,3.07%,5.20%,11.10%
KDMN,669.69M,4.04,1.48,0.00%,-27.13%,-71.96%
DDD,908.42M,1.74,1.67,-10.53%,-3.99%,-12.33%
SNBR,529.51M,N/A,2.22,5.48%,9.26%,N/A
MDRX,1.14B,0.89,0.99,-11.10%,0.19%,-14.45%
CALM,1.70B,1.82,-0.15,-5.24%,-5.34%,-6.31%
CYTK,701.02M,N/A,1.31,0.00%,-28.76%,N/A
SCVL,332.77M,1.12,N/A,1.38%,1.64%,4.50%
PARR,380.56M,0.59,1.85,-4.48%,0.41%,-46.59%
LTC,1.21B,1.56,0.83,66.87%,4.54%,15.58%
SEB,3.27B,0.92,0.73,1.76%,1.98%,3.61%
LFVN,147.24M,5.06,1.46,5.06%,17.53%,43.61%
HZNP,5.64B,2.58,1.07,43.06%,1.88%,32.08%
NXTC,1.02B,3.17,N/A,-65.22%,-5.74%,-8.09%
ULH,356.82M,1.73,1.58,2.14%,5.68%,15.12%
FBMS,359.51M,0.66,0.87,30.24%,1.17%,8.79%
X,1.08B,0.26,2.62,-8.82%,-1.57%,-27.00%
W,5.04B,N/A,3.19,-11.25%,-25.55%,N/A
INVA,1.19B,3.80,1.05,66.41%,24.52%,75.91%
JBSS,1.02B,4.46,0.25,6.18%,11.30%,22.60%
FG,2.18B,0.79,N/A,-0.17%,0.15%,-0.17%
CATS,257.03M,N/A,2.37,-74.67%,-91.36%,N/A
